Epoch 76    Validation MSELoss: 5.417890e-03    Training MSELoss: 6.374525e-03
Epoch 77    Validation MSELoss: 5.433472e-03    Training MSELoss: 6.411562e-03
Epoch 78    Validation MSELoss: 5.372977e-03    Training MSELoss: 6.387365e-03
Epoch 79    Validation MSELoss: 5.380978e-03    Training MSELoss: 6.351587e-03
Epoch 80    Validation MSELoss: 5.351267e-03    Training MSELoss: 6.381071e-03
Epoch 81    Validation MSELoss: 5.340021e-03    Training MSELoss: 6.357547e-03
Epoch 82    Validation MSELoss: 5.316491e-03    Training MSELoss: 6.333809e-03
Epoch 83    Validation MSELoss: 5.348789e-03    Training MSELoss: 6.320157e-03
Epoch 84    Validation MSELoss: 5.310568e-03    Training MSELoss: 6.332505e-03
Epoch 85    Validation MSELoss: 5.276991e-03    Training MSELoss: 6.320996e-03
Epoch 86    Validation MSELoss: 5.296207e-03    Training MSELoss: 6.255548e-03
Epoch 87    Validation MSELoss: 5.303507e-03    Training MSELoss: 6.298843e-03
Epoch 88    Validation MSELoss: 5.283591e-03    Training MSELoss: 6.256273e-03
Epoch 89    Validation MSELoss: 5.271080e-03    Training MSELoss: 6.268949e-03
Epoch 90    Validation MSELoss: 5.268002e-03    Training MSELoss: 6.279717e-03
Epoch 91    Validation MSELoss: 5.298845e-03    Training MSELoss: 6.278189e-03
Epoch 92    Validation MSELoss: 5.388431e-03    Training MSELoss: 6.244878e-03
Epoch 93    Validation MSELoss: 5.263198e-03    Training MSELoss: 6.282669e-03
Epoch 94    Validation MSELoss: 5.248422e-03    Training MSELoss: 6.197299e-03
Epoch 95    Validation MSELoss: 5.272108e-03    Training MSELoss: 6.228329e-03
Epoch 96    Validation MSELoss: 5.274975e-03    Training MSELoss: 6.208670e-03
Epoch 97    Validation MSELoss: 5.269097e-03    Training MSELoss: 6.247703e-03
Epoch 98    Validation MSELoss: 5.308177e-03    Training MSELoss: 6.185404e-03
Epoch 99    Validation MSELoss: 5.284033e-03    Training MSELoss: 6.296348e-03
