Epoch 76    Validation MSELoss: 7.934928e-05    Training MSELoss: 9.007780e-05
Epoch 77    Validation MSELoss: 6.943248e-05    Training MSELoss: 9.210299e-05
Epoch 78    Validation MSELoss: 7.865964e-05    Training MSELoss: 9.329218e-05
Epoch 79    Validation MSELoss: 7.510126e-05    Training MSELoss: 9.077739e-05
Epoch 80    Validation MSELoss: 9.356225e-05    Training MSELoss: 9.556872e-05
Epoch 81    Validation MSELoss: 7.398433e-05    Training MSELoss: 1.701005e-04
Epoch 82    Validation MSELoss: 7.936059e-05    Training MSELoss: 9.294775e-05
Epoch 83    Validation MSELoss: 7.680048e-05    Training MSELoss: 9.110456e-05
Epoch 84    Validation MSELoss: 7.570534e-05    Training MSELoss: 8.985443e-05
Epoch 85    Validation MSELoss: 6.972347e-05    Training MSELoss: 9.048742e-05
Epoch 86    Validation MSELoss: 7.226543e-05    Training MSELoss: 8.870226e-05
Epoch 87    Validation MSELoss: 6.920730e-05    Training MSELoss: 8.734292e-05
Epoch 88    Validation MSELoss: 7.659798e-05    Training MSELoss: 9.232650e-05
Epoch 89    Validation MSELoss: 6.683948e-05    Training MSELoss: 9.350712e-05
Epoch 90    Validation MSELoss: 7.766004e-05    Training MSELoss: 8.780045e-05
Epoch 91    Validation MSELoss: 8.905667e-05    Training MSELoss: 9.001867e-05
Epoch 92    Validation MSELoss: 9.191266e-05    Training MSELoss: 8.721557e-05
Epoch 93    Validation MSELoss: 9.370714e-05    Training MSELoss: 8.989935e-05
Epoch 94    Validation MSELoss: 6.839475e-05    Training MSELoss: 8.925927e-05
Epoch 95    Validation MSELoss: 8.687934e-05    Training MSELoss: 8.533278e-05
Epoch 96    Validation MSELoss: 6.632995e-05    Training MSELoss: 8.525184e-05
Epoch 97    Validation MSELoss: 6.882213e-05    Training MSELoss: 8.486825e-05
Epoch 98    Validation MSELoss: 6.511408e-05    Training MSELoss: 8.604401e-05
Epoch 99    Validation MSELoss: 7.030612e-05    Training MSELoss: 8.550999e-05
Epoch 100    Validation MSELoss: 6.706003e-05    Training MSELoss: 1.035015e-04
