Epoch 0    Validation MSELoss: 1.872925e-01    Training MSELoss: 2.002384e-01
Epoch 1    Validation MSELoss: 1.117412e-01    Training MSELoss: 1.154731e-01
Epoch 2    Validation MSELoss: 8.039734e-02    Training MSELoss: 8.252567e-02
Epoch 3    Validation MSELoss: 6.013444e-02    Training MSELoss: 6.199467e-02
Epoch 4    Validation MSELoss: 4.333365e-02    Training MSELoss: 4.504669e-02
Epoch 5    Validation MSELoss: 2.839746e-02    Training MSELoss: 2.964834e-02
Epoch 6    Validation MSELoss: 1.762813e-02    Training MSELoss: 1.845007e-02
Epoch 7    Validation MSELoss: 1.350572e-02    Training MSELoss: 1.393974e-02
Epoch 8    Validation MSELoss: 1.133270e-02    Training MSELoss: 1.168456e-02
Epoch 9    Validation MSELoss: 9.574685e-03    Training MSELoss: 9.906503e-03
Epoch 10    Validation MSELoss: 8.253065e-03    Training MSELoss: 8.480431e-03
Epoch 11    Validation MSELoss: 7.180136e-03    Training MSELoss: 7.416848e-03
Epoch 12    Validation MSELoss: 6.337157e-03    Training MSELoss: 6.510895e-03
Epoch 13    Validation MSELoss: 5.501612e-03    Training MSELoss: 5.683017e-03
Epoch 14    Validation MSELoss: 4.943492e-03    Training MSELoss: 5.116010e-03
Epoch 15    Validation MSELoss: 4.414389e-03    Training MSELoss: 4.620255e-03
Epoch 16    Validation MSELoss: 4.116091e-03    Training MSELoss: 4.280116e-03
Epoch 17    Validation MSELoss: 3.839705e-03    Training MSELoss: 3.946901e-03
Epoch 18    Validation MSELoss: 3.682063e-03    Training MSELoss: 3.698084e-03
Epoch 19    Validation MSELoss: 3.616898e-03    Training MSELoss: 3.451522e-03
Epoch 20    Validation MSELoss: 3.370861e-03    Training MSELoss: 3.248249e-03
Epoch 21    Validation MSELoss: 3.227541e-03    Training MSELoss: 3.099033e-03
Epoch 22    Validation MSELoss: 3.003737e-03    Training MSELoss: 2.884812e-03
Epoch 23    Validation MSELoss: 3.211268e-03    Training MSELoss: 2.785076e-03
Epoch 24    Validation MSELoss: 2.927997e-03    Training MSELoss: 2.638331e-03
Epoch 25    Validation MSELoss: 2.808912e-03    Training MSELoss: 2.605984e-03
Epoch 26    Validation MSELoss: 2.938468e-03    Training MSELoss: 2.438137e-03
Epoch 27    Validation MSELoss: 2.509326e-03    Training MSELoss: 2.286183e-03
Epoch 28    Validation MSELoss: 3.283919e-03    Training MSELoss: 2.193731e-03
Epoch 29    Validation MSELoss: 2.510120e-03    Training MSELoss: 2.137995e-03
Epoch 30    Validation MSELoss: 2.496862e-03    Training MSELoss: 2.081059e-03
Epoch 31    Validation MSELoss: 2.442735e-03    Training MSELoss: 2.044735e-03
Epoch 32    Validation MSELoss: 2.063931e-03    Training MSELoss: 1.993286e-03
Epoch 33    Validation MSELoss: 2.139099e-03    Training MSELoss: 1.969304e-03
Epoch 34    Validation MSELoss: 2.307048e-03    Training MSELoss: 1.900369e-03
Epoch 35    Validation MSELoss: 3.653375e-03    Training MSELoss: 1.894159e-03
Epoch 36    Validation MSELoss: 2.086836e-03    Training MSELoss: 1.845047e-03
Epoch 37    Validation MSELoss: 2.286895e-03    Training MSELoss: 1.815056e-03
Epoch 38    Validation MSELoss: 2.210760e-03    Training MSELoss: 1.784373e-03
Epoch 39    Validation MSELoss: 1.965599e-03    Training MSELoss: 1.764294e-03
Epoch 40    Validation MSELoss: 2.399573e-03    Training MSELoss: 1.707798e-03
Epoch 41    Validation MSELoss: 1.810707e-03    Training MSELoss: 1.655191e-03
Epoch 42    Validation MSELoss: 3.461611e-03    Training MSELoss: 1.680299e-03
Epoch 43    Validation MSELoss: 1.750914e-03    Training MSELoss: 1.637751e-03
Epoch 44    Validation MSELoss: 2.020126e-03    Training MSELoss: 1.626008e-03
Epoch 45    Validation MSELoss: 2.314961e-03    Training MSELoss: 1.612934e-03
Epoch 46    Validation MSELoss: 1.989063e-03    Training MSELoss: 1.575327e-03
Epoch 47    Validation MSELoss: 1.630546e-03    Training MSELoss: 1.552908e-03
Epoch 48    Validation MSELoss: 1.701772e-03    Training MSELoss: 1.543259e-03
Epoch 49    Validation MSELoss: 1.737538e-03    Training MSELoss: 1.494005e-03
Epoch 50    Validation MSELoss: 1.640290e-03    Training MSELoss: 1.486952e-03
Epoch 51    Validation MSELoss: 1.924335e-03    Training MSELoss: 1.423304e-03
Epoch 52    Validation MSELoss: 1.453609e-03    Training MSELoss: 1.423125e-03
Epoch 53    Validation MSELoss: 1.474297e-03    Training MSELoss: 1.394029e-03
Epoch 54    Validation MSELoss: 1.375846e-03    Training MSELoss: 1.369768e-03
Epoch 55    Validation MSELoss: 1.571832e-03    Training MSELoss: 1.335138e-03
Epoch 56    Validation MSELoss: 1.293004e-03    Training MSELoss: 1.370868e-03
Epoch 57    Validation MSELoss: 1.371158e-03    Training MSELoss: 1.321419e-03
Epoch 58    Validation MSELoss: 1.301836e-03    Training MSELoss: 1.313786e-03
Epoch 59    Validation MSELoss: 1.505165e-03    Training MSELoss: 1.270606e-03
Epoch 60    Validation MSELoss: 1.133748e-03    Training MSELoss: 1.266980e-03
Epoch 61    Validation MSELoss: 1.141362e-03    Training MSELoss: 1.263696e-03
