Epoch 76    Validation MSELoss: 4.373871e-04    Training MSELoss: 4.596300e-04
Epoch 77    Validation MSELoss: 3.115829e-04    Training MSELoss: 4.905770e-04
Epoch 78    Validation MSELoss: 4.007116e-04    Training MSELoss: 4.736222e-04
Epoch 79    Validation MSELoss: 4.461755e-04    Training MSELoss: 4.283873e-04
Epoch 80    Validation MSELoss: 3.859096e-04    Training MSELoss: 4.727867e-04
Epoch 81    Validation MSELoss: 3.302849e-04    Training MSELoss: 4.242442e-04
Epoch 82    Validation MSELoss: 3.399212e-04    Training MSELoss: 4.144213e-04
Epoch 83    Validation MSELoss: 2.560070e-04    Training MSELoss: 4.068681e-04
Epoch 84    Validation MSELoss: 2.614179e-04    Training MSELoss: 4.083602e-04
Epoch 85    Validation MSELoss: 4.202319e-04    Training MSELoss: 3.913993e-04
Epoch 86    Validation MSELoss: 2.528729e-04    Training MSELoss: 3.880360e-04
Epoch 87    Validation MSELoss: 5.636110e-04    Training MSELoss: 3.700824e-04
Epoch 88    Validation MSELoss: 1.871195e-04    Training MSELoss: 3.517445e-04
Epoch 89    Validation MSELoss: 2.935916e-04    Training MSELoss: 3.518253e-04
Epoch 90    Validation MSELoss: 3.103233e-04    Training MSELoss: 3.546316e-04
Epoch 91    Validation MSELoss: 2.793433e-04    Training MSELoss: 3.592100e-04
Epoch 92    Validation MSELoss: 2.136567e-04    Training MSELoss: 3.173075e-04
Epoch 93    Validation MSELoss: 4.529339e-04    Training MSELoss: 3.386677e-04
Epoch 94    Validation MSELoss: 5.318360e-04    Training MSELoss: 3.386774e-04
Epoch 95    Validation MSELoss: 2.839408e-04    Training MSELoss: 3.156113e-04
Epoch 96    Validation MSELoss: 1.947177e-04    Training MSELoss: 3.140330e-04
Epoch 97    Validation MSELoss: 2.168924e-04    Training MSELoss: 2.999883e-04
Epoch 98    Validation MSELoss: 2.964460e-04    Training MSELoss: 2.838415e-04
Epoch 99    Validation MSELoss: 1.720039e-04    Training MSELoss: 2.887957e-04
Epoch 100    Validation MSELoss: 2.046647e-04    Training MSELoss: 2.817667e-04
Epoch 101    Validation MSELoss: 3.647877e-04    Training MSELoss: 2.858332e-04
Epoch 102    Validation MSELoss: 2.687863e-04    Training MSELoss: 2.793102e-04
Epoch 103    Validation MSELoss: 1.877823e-04    Training MSELoss: 2.790085e-04
Epoch 104    Validation MSELoss: 1.710815e-04    Training MSELoss: 2.467731e-04
Epoch 105    Validation MSELoss: 1.764882e-04    Training MSELoss: 2.604585e-04
Epoch 106    Validation MSELoss: 3.664344e-04    Training MSELoss: 2.705349e-04
Epoch 107    Validation MSELoss: 1.623252e-04    Training MSELoss: 2.534904e-04
Epoch 108    Validation MSELoss: 1.617898e-04    Training MSELoss: 2.400704e-04
Epoch 109    Validation MSELoss: 1.683332e-04    Training MSELoss: 2.480902e-04
Epoch 110    Validation MSELoss: 1.980390e-04    Training MSELoss: 2.157121e-04
Epoch 111    Validation MSELoss: 1.781615e-04    Training MSELoss: 2.556623e-04
Epoch 112    Validation MSELoss: 1.251014e-04    Training MSELoss: 2.299644e-04
Epoch 113    Validation MSELoss: 2.688571e-04    Training MSELoss: 2.161493e-04
Epoch 114    Validation MSELoss: 1.388349e-04    Training MSELoss: 2.054288e-04
Epoch 115    Validation MSELoss: 1.585278e-04    Training MSELoss: 2.334995e-04
Epoch 116    Validation MSELoss: 1.222043e-04    Training MSELoss: 2.154935e-04
Epoch 117    Validation MSELoss: 1.695811e-04    Training MSELoss: 2.175460e-04
Epoch 118    Validation MSELoss: 1.030733e-04    Training MSELoss: 1.947005e-04
Epoch 119    Validation MSELoss: 1.787430e-04    Training MSELoss: 1.943130e-04
Epoch 120    Validation MSELoss: 1.316044e-04    Training MSELoss: 1.987887e-04
Epoch 121    Validation MSELoss: 1.171211e-04    Training MSELoss: 1.982653e-04
Epoch 122    Validation MSELoss: 1.582478e-04    Training MSELoss: 2.122272e-04
Epoch 123    Validation MSELoss: 1.833168e-04    Training MSELoss: 1.822936e-04
Epoch 124    Validation MSELoss: 1.769780e-04    Training MSELoss: 1.771934e-04
Epoch 125    Validation MSELoss: 1.123761e-04    Training MSELoss: 1.806725e-04
Epoch 126    Validation MSELoss: 1.883300e-04    Training MSELoss: 1.937748e-04
Epoch 127    Validation MSELoss: 2.247064e-04    Training MSELoss: 1.896028e-04
Epoch 128    Validation MSELoss: 2.014520e-04    Training MSELoss: 1.889631e-04
Epoch 129    Validation MSELoss: 1.164510e-04    Training MSELoss: 1.830799e-04
Epoch 130    Validation MSELoss: 1.865040e-04    Training MSELoss: 1.774638e-04
Epoch 131    Validation MSELoss: 9.404707e-05    Training MSELoss: 1.680825e-04
Epoch 132    Validation MSELoss: 9.522247e-05    Training MSELoss: 1.680013e-04
Epoch 133    Validation MSELoss: 1.765557e-04    Training MSELoss: 1.671451e-04
Epoch 134    Validation MSELoss: 2.756724e-04    Training MSELoss: 1.600938e-04
Epoch 135    Validation MSELoss: 9.383470e-05    Training MSELoss: 1.568807e-04
Epoch 136    Validation MSELoss: 8.607716e-05    Training MSELoss: 1.415858e-04
Epoch 137    Validation MSELoss: 1.426822e-04    Training MSELoss: 1.521646e-04
Epoch 138    Validation MSELoss: 8.602119e-05    Training MSELoss: 1.574659e-04
Epoch 139    Validation MSELoss: 1.189744e-04    Training MSELoss: 1.614338e-04
Epoch 140    Validation MSELoss: 1.234273e-04    Training MSELoss: 1.456543e-04
Epoch 141    Validation MSELoss: 1.115466e-04    Training MSELoss: 1.492652e-04
Epoch 142    Validation MSELoss: 6.357284e-05    Training MSELoss: 1.393547e-04
Epoch 143    Validation MSELoss: 1.184739e-04    Training MSELoss: 1.482278e-04
Epoch 144    Validation MSELoss: 5.504426e-05    Training MSELoss: 1.351229e-04
Epoch 145    Validation MSELoss: 9.165589e-05    Training MSELoss: 1.383156e-04
Epoch 146    Validation MSELoss: 1.053928e-04    Training MSELoss: 1.355329e-04
Epoch 147    Validation MSELoss: 9.678553e-05    Training MSELoss: 1.304710e-04
Epoch 148    Validation MSELoss: 9.857130e-05    Training MSELoss: 1.217519e-04
