Epoch 76    Validation MSELoss: 6.852578e-01    Training MSELoss: 9.634324e-01
Epoch 77    Validation MSELoss: 6.515845e-01    Training MSELoss: 9.237831e-01
Epoch 78    Validation MSELoss: 5.989398e-01    Training MSELoss: 8.836813e-01
Epoch 79    Validation MSELoss: 5.556208e-01    Training MSELoss: 8.432494e-01
Epoch 80    Validation MSELoss: 5.052562e-01    Training MSELoss: 8.022078e-01
Epoch 81    Validation MSELoss: 4.650356e-01    Training MSELoss: 7.607144e-01
Epoch 82    Validation MSELoss: 4.288062e-01    Training MSELoss: 7.188851e-01
Epoch 83    Validation MSELoss: 3.924367e-01    Training MSELoss: 6.769271e-01
Epoch 84    Validation MSELoss: 3.473081e-01    Training MSELoss: 6.350890e-01
Epoch 85    Validation MSELoss: 3.034565e-01    Training MSELoss: 5.931820e-01
Epoch 86    Validation MSELoss: 2.652214e-01    Training MSELoss: 5.515000e-01
Epoch 87    Validation MSELoss: 2.376983e-01    Training MSELoss: 5.102659e-01
Epoch 88    Validation MSELoss: 2.045998e-01    Training MSELoss: 4.695822e-01
Epoch 89    Validation MSELoss: 1.710185e-01    Training MSELoss: 4.302052e-01
Epoch 90    Validation MSELoss: 1.478811e-01    Training MSELoss: 3.918300e-01
Epoch 91    Validation MSELoss: 1.212657e-01    Training MSELoss: 3.540545e-01
Epoch 92    Validation MSELoss: 9.750123e-02    Training MSELoss: 3.180019e-01
Epoch 93    Validation MSELoss: 7.798634e-02    Training MSELoss: 2.833384e-01
Epoch 94    Validation MSELoss: 6.534703e-02    Training MSELoss: 2.505929e-01
Epoch 95    Validation MSELoss: 4.676547e-02    Training MSELoss: 2.193667e-01
Epoch 96    Validation MSELoss: 3.597910e-02    Training MSELoss: 1.903551e-01
Epoch 97    Validation MSELoss: 2.692710e-02    Training MSELoss: 1.635325e-01
Epoch 98    Validation MSELoss: 1.684628e-02    Training MSELoss: 1.388029e-01
Epoch 99    Validation MSELoss: 1.289476e-02    Training MSELoss: 1.166197e-01
Epoch 100    Validation MSELoss: 9.920374e-03    Training MSELoss: 9.690656e-02
Epoch 101    Validation MSELoss: 6.792176e-03    Training MSELoss: 7.928759e-02
Epoch 102    Validation MSELoss: 5.522399e-03    Training MSELoss: 6.392223e-02
Epoch 103    Validation MSELoss: 4.610868e-03    Training MSELoss: 5.110409e-02
Epoch 104    Validation MSELoss: 3.522170e-03    Training MSELoss: 4.034601e-02
Epoch 105    Validation MSELoss: 4.581202e-03    Training MSELoss: 3.136368e-02
Epoch 106    Validation MSELoss: 4.247206e-03    Training MSELoss: 2.438011e-02
Epoch 107    Validation MSELoss: 3.711456e-03    Training MSELoss: 1.882233e-02
Epoch 108    Validation MSELoss: 2.804558e-03    Training MSELoss: 1.456421e-02
Epoch 109    Validation MSELoss: 2.242412e-03    Training MSELoss: 1.142069e-02
Epoch 110    Validation MSELoss: 3.300573e-03    Training MSELoss: 8.961942e-03
Epoch 111    Validation MSELoss: 4.831559e-03    Training MSELoss: 7.239686e-03
Epoch 112    Validation MSELoss: 2.256567e-03    Training MSELoss: 6.059059e-03
Epoch 113    Validation MSELoss: 1.871787e-03    Training MSELoss: 5.339873e-03
Epoch 114    Validation MSELoss: 4.836766e-03    Training MSELoss: 4.704820e-03
Epoch 115    Validation MSELoss: 3.982197e-03    Training MSELoss: 4.146722e-03
Epoch 116    Validation MSELoss: 2.335156e-03    Training MSELoss: 3.938252e-03
Epoch 117    Validation MSELoss: 2.177850e-03    Training MSELoss: 3.766673e-03
Epoch 118    Validation MSELoss: 3.863116e-03    Training MSELoss: 3.641110e-03
