Epoch 76    Validation MSELoss: 8.267506e-04    Training MSELoss: 9.012178e-04
Epoch 77    Validation MSELoss: 6.395376e-04    Training MSELoss: 9.212720e-04
Epoch 78    Validation MSELoss: 7.401478e-04    Training MSELoss: 9.761410e-04
Epoch 79    Validation MSELoss: 9.309090e-04    Training MSELoss: 9.336122e-04
Epoch 80    Validation MSELoss: 7.637015e-04    Training MSELoss: 9.860815e-04
Epoch 81    Validation MSELoss: 7.432570e-04    Training MSELoss: 8.827381e-04
Epoch 82    Validation MSELoss: 8.044633e-04    Training MSELoss: 9.205603e-04
Epoch 83    Validation MSELoss: 4.922763e-04    Training MSELoss: 9.110310e-04
Epoch 84    Validation MSELoss: 7.058225e-04    Training MSELoss: 8.407137e-04
Epoch 85    Validation MSELoss: 4.210219e-04    Training MSELoss: 9.356850e-04
Epoch 86    Validation MSELoss: 6.164042e-04    Training MSELoss: 7.802290e-04
Epoch 87    Validation MSELoss: 7.106983e-04    Training MSELoss: 8.809356e-04
Epoch 88    Validation MSELoss: 4.688912e-04    Training MSELoss: 8.245996e-04
Epoch 89    Validation MSELoss: 5.781100e-04    Training MSELoss: 8.933370e-04
Epoch 90    Validation MSELoss: 5.881955e-04    Training MSELoss: 7.902310e-04
Epoch 91    Validation MSELoss: 4.730389e-04    Training MSELoss: 8.300527e-04
Epoch 92    Validation MSELoss: 6.754523e-04    Training MSELoss: 7.877526e-04
Epoch 93    Validation MSELoss: 7.794557e-04    Training MSELoss: 7.877863e-04
Epoch 94    Validation MSELoss: 3.895925e-04    Training MSELoss: 7.598626e-04
Epoch 95    Validation MSELoss: 6.743830e-04    Training MSELoss: 7.727140e-04
Epoch 96    Validation MSELoss: 6.279735e-04    Training MSELoss: 7.860766e-04
Epoch 97    Validation MSELoss: 3.496382e-04    Training MSELoss: 6.863038e-04
Epoch 98    Validation MSELoss: 5.432174e-04    Training MSELoss: 6.993513e-04
Epoch 99    Validation MSELoss: 5.064929e-04    Training MSELoss: 7.025880e-04
Epoch 100    Validation MSELoss: 5.239419e-04    Training MSELoss: 6.995036e-04
Epoch 101    Validation MSELoss: 6.590129e-04    Training MSELoss: 7.413223e-04
Epoch 102    Validation MSELoss: 4.187284e-04    Training MSELoss: 7.255123e-04
Epoch 103    Validation MSELoss: 5.001024e-04    Training MSELoss: 7.282718e-04
Epoch 104    Validation MSELoss: 5.281793e-04    Training MSELoss: 6.385075e-04
Epoch 105    Validation MSELoss: 8.746220e-04    Training MSELoss: 6.923544e-04
Epoch 106    Validation MSELoss: 3.612877e-04    Training MSELoss: 6.976926e-04
Epoch 107    Validation MSELoss: 7.502183e-04    Training MSELoss: 7.092914e-04
Epoch 108    Validation MSELoss: 4.426288e-04    Training MSELoss: 6.598495e-04
Epoch 109    Validation MSELoss: 4.556716e-04    Training MSELoss: 6.598035e-04
Epoch 110    Validation MSELoss: 3.906287e-04    Training MSELoss: 6.541582e-04
Epoch 111    Validation MSELoss: 3.975440e-04    Training MSELoss: 6.087563e-04
Epoch 112    Validation MSELoss: 5.424336e-04    Training MSELoss: 5.990876e-04
Epoch 113    Validation MSELoss: 3.408843e-04    Training MSELoss: 6.457274e-04
Epoch 114    Validation MSELoss: 5.038444e-04    Training MSELoss: 6.248345e-04
Epoch 115    Validation MSELoss: 4.441843e-04    Training MSELoss: 6.237265e-04
Epoch 116    Validation MSELoss: 4.288949e-04    Training MSELoss: 6.038350e-04
Epoch 117    Validation MSELoss: 2.146857e-04    Training MSELoss: 5.948300e-04
Epoch 118    Validation MSELoss: 4.220324e-04    Training MSELoss: 5.453019e-04
Epoch 119    Validation MSELoss: 4.664562e-04    Training MSELoss: 6.452086e-04
Epoch 120    Validation MSELoss: 4.877774e-04    Training MSELoss: 5.930826e-04
Epoch 121    Validation MSELoss: 3.716548e-04    Training MSELoss: 5.512869e-04
Epoch 122    Validation MSELoss: 3.161691e-04    Training MSELoss: 5.301411e-04
Epoch 123    Validation MSELoss: 3.211442e-04    Training MSELoss: 5.307273e-04
Epoch 124    Validation MSELoss: 5.273275e-04    Training MSELoss: 5.114502e-04
Epoch 125    Validation MSELoss: 3.538012e-04    Training MSELoss: 5.439997e-04
Epoch 126    Validation MSELoss: 2.891865e-04    Training MSELoss: 5.147370e-04
Epoch 127    Validation MSELoss: 2.780655e-04    Training MSELoss: 5.332952e-04
Epoch 128    Validation MSELoss: 4.581223e-04    Training MSELoss: 5.154815e-04
Epoch 129    Validation MSELoss: 3.370822e-04    Training MSELoss: 5.321738e-04
Epoch 130    Validation MSELoss: 3.663478e-04    Training MSELoss: 5.251356e-04
Epoch 131    Validation MSELoss: 4.460916e-04    Training MSELoss: 5.167937e-04
Epoch 132    Validation MSELoss: 4.308996e-04    Training MSELoss: 5.034715e-04
Epoch 133    Validation MSELoss: 2.954904e-04    Training MSELoss: 4.802851e-04
Epoch 134    Validation MSELoss: 3.985717e-04    Training MSELoss: 5.099810e-04
Epoch 135    Validation MSELoss: 2.231288e-04    Training MSELoss: 5.040029e-04
Epoch 136    Validation MSELoss: 3.735726e-04    Training MSELoss: 5.130384e-04
Epoch 137    Validation MSELoss: 2.770412e-04    Training MSELoss: 5.150418e-04
Epoch 138    Validation MSELoss: 2.606909e-04    Training MSELoss: 5.061740e-04
Epoch 139    Validation MSELoss: 3.123123e-04    Training MSELoss: 4.775172e-04
Epoch 140    Validation MSELoss: 2.910492e-04    Training MSELoss: 4.742408e-04
Epoch 141    Validation MSELoss: 3.778155e-04    Training MSELoss: 4.865461e-04
Epoch 142    Validation MSELoss: 2.365025e-04    Training MSELoss: 5.257146e-04
Epoch 143    Validation MSELoss: 2.903339e-04    Training MSELoss: 4.632870e-04
Epoch 144    Validation MSELoss: 2.959269e-04    Training MSELoss: 4.664786e-04
Epoch 145    Validation MSELoss: 3.602316e-04    Training MSELoss: 4.625183e-04
Epoch 146    Validation MSELoss: 2.194986e-04    Training MSELoss: 4.603826e-04
Epoch 147    Validation MSELoss: 1.659182e-04    Training MSELoss: 4.595778e-04
Epoch 148    Validation MSELoss: 3.184513e-04    Training MSELoss: 4.278566e-04
Epoch 149    Validation MSELoss: 2.955513e-04    Training MSELoss: 4.313302e-04
Epoch 150    Validation MSELoss: 3.299471e-04    Training MSELoss: 4.422331e-04
Epoch 151    Validation MSELoss: 1.397642e-04    Training MSELoss: 4.430195e-04
Epoch 152    Validation MSELoss: 1.680299e-04    Training MSELoss: 4.521211e-04
Epoch 153    Validation MSELoss: 2.203996e-04    Training MSELoss: 4.220610e-04
Epoch 154    Validation MSELoss: 2.098783e-04    Training MSELoss: 4.300039e-04
Epoch 155    Validation MSELoss: 2.077575e-04    Training MSELoss: 4.126632e-04
Epoch 156    Validation MSELoss: 2.593330e-04    Training MSELoss: 4.171638e-04
Epoch 157    Validation MSELoss: 1.958844e-04    Training MSELoss: 4.055530e-04
Epoch 158    Validation MSELoss: 2.819046e-04    Training MSELoss: 4.404433e-04
Epoch 159    Validation MSELoss: 2.112891e-04    Training MSELoss: 4.058459e-04
Epoch 160    Validation MSELoss: 2.380868e-04    Training MSELoss: 4.093203e-04
Epoch 161    Validation MSELoss: 1.441673e-04    Training MSELoss: 3.908632e-04
Epoch 162    Validation MSELoss: 2.093932e-04    Training MSELoss: 4.190376e-04
Epoch 163    Validation MSELoss: 2.403447e-04    Training MSELoss: 4.150113e-04
Epoch 164    Validation MSELoss: 2.396272e-04    Training MSELoss: 4.345970e-04
Epoch 165    Validation MSELoss: 2.057547e-04    Training MSELoss: 4.145035e-04
Epoch 166    Validation MSELoss: 1.433429e-04    Training MSELoss: 3.915273e-04
Epoch 167    Validation MSELoss: 1.602522e-04    Training MSELoss: 4.117466e-04
Epoch 168    Validation MSELoss: 3.037032e-04    Training MSELoss: 4.092024e-04
Epoch 169    Validation MSELoss: 1.522388e-04    Training MSELoss: 3.752917e-04
Epoch 170    Validation MSELoss: 1.820901e-04    Training MSELoss: 3.914588e-04
Epoch 171    Validation MSELoss: 1.712346e-04    Training MSELoss: 3.839336e-04
Epoch 172    Validation MSELoss: 1.380053e-04    Training MSELoss: 4.379941e-04
Epoch 173    Validation MSELoss: 1.990341e-04    Training MSELoss: 3.673859e-04
Epoch 174    Validation MSELoss: 1.395124e-04    Training MSELoss: 3.480455e-04
Epoch 175    Validation MSELoss: 1.482804e-04    Training MSELoss: 3.864733e-04
Epoch 176    Validation MSELoss: 1.620116e-04    Training MSELoss: 3.297966e-04
Epoch 177    Validation MSELoss: 1.760452e-04    Training MSELoss: 3.541627e-04
Epoch 178    Validation MSELoss: 1.812823e-04    Training MSELoss: 3.939412e-04
Epoch 179    Validation MSELoss: 1.283515e-04    Training MSELoss: 3.792630e-04
Epoch 180    Validation MSELoss: 1.708494e-04    Training MSELoss: 3.412240e-04
Epoch 181    Validation MSELoss: 1.840090e-04    Training MSELoss: 3.425749e-04
Epoch 182    Validation MSELoss: 1.230652e-04    Training MSELoss: 3.541712e-04
Epoch 183    Validation MSELoss: 2.142283e-04    Training MSELoss: 3.536347e-04
Epoch 184    Validation MSELoss: 1.378572e-04    Training MSELoss: 3.769370e-04
Epoch 185    Validation MSELoss: 1.791085e-04    Training MSELoss: 3.464358e-04
Epoch 186    Validation MSELoss: 1.403813e-04    Training MSELoss: 3.507357e-04
Epoch 187    Validation MSELoss: 1.786089e-04    Training MSELoss: 3.640013e-04
Epoch 188    Validation MSELoss: 1.285442e-04    Training MSELoss: 3.518375e-04
Epoch 189    Validation MSELoss: 8.194344e-05    Training MSELoss: 3.133781e-04
Epoch 190    Validation MSELoss: 1.148531e-04    Training MSELoss: 3.380151e-04
Epoch 191    Validation MSELoss: 1.455436e-04    Training MSELoss: 3.180217e-04
Epoch 192    Validation MSELoss: 1.008853e-04    Training MSELoss: 3.280023e-04
Epoch 193    Validation MSELoss: 9.815549e-05    Training MSELoss: 3.392914e-04
Epoch 194    Validation MSELoss: 1.663381e-04    Training MSELoss: 3.371530e-04
Epoch 195    Validation MSELoss: 1.411498e-04    Training MSELoss: 3.087691e-04
Epoch 196    Validation MSELoss: 1.235213e-04    Training MSELoss: 3.168835e-04
Epoch 197    Validation MSELoss: 1.421555e-04    Training MSELoss: 3.170560e-04
Epoch 198    Validation MSELoss: 9.178223e-05    Training MSELoss: 3.281381e-04
Epoch 199    Validation MSELoss: 1.138631e-04    Training MSELoss: 3.277719e-04
Epoch 200    Validation MSELoss: 8.802467e-05    Training MSELoss: 3.243855e-04
Epoch 201    Validation MSELoss: 7.818384e-05    Training MSELoss: 3.317194e-04
Epoch 202    Validation MSELoss: 1.131511e-04    Training MSELoss: 3.195417e-04
Epoch 203    Validation MSELoss: 1.186500e-04    Training MSELoss: 3.086013e-04
Epoch 204    Validation MSELoss: 9.605996e-05    Training MSELoss: 3.067999e-04
Epoch 205    Validation MSELoss: 1.133155e-04    Training MSELoss: 2.925926e-04
Epoch 206    Validation MSELoss: 1.063793e-04    Training MSELoss: 3.017866e-04
Epoch 207    Validation MSELoss: 1.094760e-04    Training MSELoss: 2.949381e-04
Epoch 208    Validation MSELoss: 1.209043e-04    Training MSELoss: 3.203246e-04
Epoch 209    Validation MSELoss: 1.139779e-04    Training MSELoss: 3.368203e-04
